,recall,specificity,accuracy
Logistic Regression,"(0.8617127385707946, 0.010127449815726735)","(0.9024805904732822, 0.0011790388391980267)","(0.9022445871602024, 0.0011646809408044198)"
Decision Tree,"(0.8832898357745229, 0.011711772211548921)","(0.9591341397265133, 0.0030616141936980327)","(0.9586951292797348, 0.003012900972210353)"
Random Forest,"(0.7556575233022637, 0.017955356049167735)","(0.931756027155218, 0.011115147002783422)","(0.9307367082366593, 0.011023083086887002)"
